==> dp8rd2-1.log <==
vol=/root/gluster/dt2dp4rd1, bs=32k, separately_count=8, 34498150.400 Bytes/s, 32.900 MB/s, 263.200 MB/s
vol=/root/gluster/dt2dp4rd1, bs=64k, separately_count=8, 67397222.400 Bytes/s, 64.275 MB/s, 514.200 MB/s
vol=/root/gluster/dt2dp4rd1, bs=128k, separately_count=8, 120848384.000 Bytes/s, 115.250 MB/s, 922.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=256k, separately_count=8, 166723584.000 Bytes/s, 159.000 MB/s, 1272.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=512k, separately_count=8, 209190912.000 Bytes/s, 199.500 MB/s, 1596.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=1M, separately_count=8, 241434624.000 Bytes/s, 230.250 MB/s, 1842.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=2M, separately_count=8, 241958912.000 Bytes/s, 230.750 MB/s, 1846.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=4M, separately_count=8, 260046848.000 Bytes/s, 248.000 MB/s, 1984.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=8M, separately_count=8, 218234880.000 Bytes/s, 208.125 MB/s, 1665.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=16M, separately_count=8, 217841664.000 Bytes/s, 207.750 MB/s, 1662.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=32M, separately_count=8, 227803136.000 Bytes/s, 217.250 MB/s, 1738.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=64M, separately_count=8, 212860928.000 Bytes/s, 203.000 MB/s, 1624.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=128M, separately_count=8, 222167040.000 Bytes/s, 211.875 MB/s, 1695.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=256M, separately_count=8, 218890240.000 Bytes/s, 208.750 MB/s, 1670.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=512M, separately_count=8, 211288064.000 Bytes/s, 201.500 MB/s, 1612.000 MB/s

==> dt4rp2-1.log <==
vol=/root/gluster/dt4rp2, bs=1k, separately_count=1, 1258291.200 Bytes/s, 1.200 MB/s, 1.200 MB/s
vol=/root/gluster/dt4rp2, bs=2k, separately_count=1, 2621440.000 Bytes/s, 2.500 MB/s, 2.500 MB/s
vol=/root/gluster/dt4rp2, bs=4k, separately_count=1, 4718592.000 Bytes/s, 4.500 MB/s, 4.500 MB/s
vol=/root/gluster/dt4rp2, bs=8k, separately_count=1, 9227468.800 Bytes/s, 8.800 MB/s, 8.800 MB/s
vol=/root/gluster/dt4rp2, bs=16k, separately_count=1, 17091788.800 Bytes/s, 16.300 MB/s, 16.300 MB/s
vol=/root/gluster/dt4rp2, bs=32k, separately_count=1, 35756441.600 Bytes/s, 34.100 MB/s, 34.100 MB/s
