logfile, volume_type, bs, bandwidth[Bytes/s]
single-nfs.log, nfs, 64k, 3250585.600
single-nfs.log, nfs, 128k, 61446553.600
single-nfs.log, nfs, 256k, 12478054.400
single-nfs.log, nfs, 512k, 12478054.400
single-nfs.log, nfs, 1024k, 15309209.600
single-nfs.log, nfs, 2M, 30408704.000
single-nfs.log, nfs, 4M, 88080384.000
single-nfs.log, nfs, 8M, 203423744.000
single-nfs.log, nfs, 16M, 195035136.000
single-nfs.log, nfs, 32M, 212860928.000
single-nfs.log, nfs, 64M, 312475648.000
single-nfs.log, nfs, 128M, 373293056.000
single-nfs.log, nfs, 256M, 377487360.000
single-nfs.log, nfs, 512M, 369098752.000
